player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Thomas",kxLyCI4zWO,2026-05-06T03:34:31.484Z,,11302,,12322,1020
"RT",TewQH-V78i,2026-05-06T03:33:23.374Z,,2500,,3551,1051
"Kenn",1MAe7RP1K5,2026-05-06T03:02:52.348Z,2026-05-06T03:28:05.082Z,2500,0,0,-2500
"cam",5Hkt1ueeT1,2026-05-06T02:49:58.226Z,,5000,,9788,4788
"heech",UXn8-VfrPb,2026-05-06T02:36:07.825Z,2026-05-06T03:06:35.330Z,5000,6606,0,1606
"thomas!",wukM_7k8E4,2026-05-06T01:26:51.382Z,2026-05-06T03:34:31.479Z,10000,11302,0,1302
"RT",TewQH-V78i,2026-05-06T01:18:06.510Z,2026-05-06T02:16:28.429Z,2500,2710,0,210
"Jason",XKcqCJfaWe,2026-05-06T00:58:46.698Z,,2500,,3340,840
"thomas!",wukM_7k8E4,2026-05-06T00:57:53.037Z,2026-05-06T01:24:27.987Z,10000,0,0,-10000
"thomas!",wukM_7k8E4,2026-05-06T00:50:06.827Z,2026-05-06T00:57:26.556Z,4500,0,0,-4500
"cam",5Hkt1ueeT1,2026-05-06T00:46:05.947Z,2026-05-06T02:49:07.076Z,2000,10000,0,8000
"Rayan",nhXZL_Cydv,2026-05-06T00:29:28.272Z,2026-05-06T03:52:26.127Z,2500,0,0,-2500
"cam",5Hkt1ueeT1,2026-05-06T00:11:12.941Z,2026-05-06T00:45:17.462Z,3000,0,0,-3000
"cam",5Hkt1ueeT1,2026-05-06T00:07:10.207Z,2026-05-06T00:10:04.812Z,2500,0,0,-2500
"cam",5Hkt1ueeT1,2026-05-05T23:36:48.935Z,2026-05-06T00:06:30.595Z,2500,0,0,-2500
"thomas!",wukM_7k8E4,2026-05-05T23:16:19.275Z,2026-05-06T00:49:23.418Z,5500,0,0,-5500
"Yaden",4u5onOgZt7,2026-05-05T23:16:19.273Z,,2500,,19183,16683
"heech",UXn8-VfrPb,2026-05-05T23:16:19.264Z,2026-05-06T02:35:07.793Z,2500,0,0,-2500
