player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"THOMAS!",wukM_7k8E4,2026-05-04T04:42:23.880Z,2026-05-04T05:45:41.502Z,5800,3880,0,-1920
"Rayan",nhXZL_Cydv,2026-05-04T04:08:33.362Z,2026-05-04T04:22:35.412Z,300,0,0,-300
"Rayan",nhXZL_Cydv,2026-05-04T04:05:35.260Z,2026-05-04T04:07:07.320Z,300,0,0,-300
"Yaden",4u5onOgZt7,2026-05-04T03:35:00.831Z,2026-05-04T04:16:36.325Z,1000,0,0,-1000
"Rayan",nhXZL_Cydv,2026-05-04T03:36:23.654Z,2026-05-04T04:04:44.776Z,1000,0,0,-1000
"cam",5Hkt1ueeT1,2026-05-04T03:26:07.577Z,2026-05-04T05:42:05.468Z,1000,0,0,-1000
"cam",5Hkt1ueeT1,2026-05-04T02:58:22.422Z,2026-05-04T03:25:17.800Z,5000,0,0,-5000
"heech",UXn8-VfrPb,2026-05-04T02:21:38.308Z,2026-05-04T05:45:37.777Z,1000,24843,0,23843
"Yaden",4u5onOgZt7,2026-05-04T02:19:35.028Z,2026-05-04T03:34:21.911Z,5000,8475,0,3475
"Rayan",nhXZL_Cydv,2026-05-04T02:17:06.702Z,2026-05-04T03:34:21.905Z,2000,0,0,-2000
"heech",UXn8-VfrPb,2026-05-04T02:16:22.384Z,2026-05-04T02:21:05.083Z,1000,0,0,-1000
"cam",5Hkt1ueeT1,2026-05-04T01:55:43.226Z,2026-05-04T02:57:39.855Z,5000,0,0,-5000
"Rayan",nhXZL_Cydv,2026-05-04T01:51:56.267Z,2026-05-04T02:13:52.812Z,1000,0,0,-1000
"heech",UXn8-VfrPb,2026-05-04T01:10:29.659Z,2026-05-04T02:15:07.521Z,2000,0,0,-2000
"Rayan",nhXZL_Cydv,2026-05-04T00:51:31.853Z,2026-05-04T01:50:56.324Z,2500,0,0,-2500
"Kenn",1MAe7RP1K5,2026-05-04T00:31:12.712Z,2026-05-04T00:47:19.960Z,2000,0,0,-2000
"Rayan",nhXZL_Cydv,2026-05-04T00:24:50.150Z,2026-05-04T00:49:48.301Z,2500,0,0,-2500
"cam",5Hkt1ueeT1,2026-05-04T00:19:30.770Z,2026-05-04T01:55:12.395Z,5000,0,0,-5000
"Kenn",1MAe7RP1K5,2026-05-04T00:07:54.143Z,2026-05-04T00:27:08.497Z,2500,0,0,-2500
"cam",5Hkt1ueeT1,2026-05-03T23:58:56.631Z,2026-05-04T00:19:04.865Z,2500,0,0,-2500
"Gabe",2ethfTEhxK,2026-05-03T23:55:39.008Z,2026-05-04T01:31:24.703Z,2500,8271,0,5771
"cam",5Hkt1ueeT1,2026-05-03T23:55:39.005Z,2026-05-03T23:57:26.574Z,2500,0,0,-2500
"TeddyJRB",XKcqCJfaWe,2026-05-03T23:55:39.012Z,2026-05-04T05:45:43.373Z,2500,15431,0,12931
"THOMAS!",wukM_7k8E4,2026-05-03T23:55:38.996Z,2026-05-04T04:41:31.175Z,2500,0,0,-2500
"Yaden",4u5onOgZt7,2026-05-03T23:55:39.001Z,2026-05-04T02:16:22.378Z,2500,0,0,-2500
