player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"heech",UXn8-VfrPb,2026-05-03T11:02:18.631Z,2026-05-03T11:08:35.800Z,500,0,0,-500
"heech",UXn8-VfrPb,2026-05-03T10:59:35.644Z,2026-05-03T11:01:51.523Z,500,0,0,-500
"heech",UXn8-VfrPb,2026-05-03T10:40:41.965Z,2026-05-03T10:58:06.066Z,500,1000,0,500
"heech",UXn8-VfrPb,2026-05-03T10:37:22.908Z,2026-05-03T10:39:44.544Z,500,0,0,-500
"heech",UXn8-VfrPb,2026-05-03T10:32:31.563Z,2026-05-03T10:36:47.253Z,500,0,0,-500
"Kenn",1MAe7RP1K5,2026-05-03T10:25:35.325Z,2026-05-03T11:32:15.217Z,500,0,0,-500
"heech",UXn8-VfrPb,2026-05-03T10:20:08.034Z,2026-05-03T10:31:41.190Z,500,0,0,-500
"heech",UXn8-VfrPb,2026-05-03T10:18:26.112Z,2026-05-03T10:19:14.488Z,500,0,0,-500
"heech",UXn8-VfrPb,2026-05-03T10:06:20.046Z,2026-05-03T10:17:47.888Z,500,500,0,0
"Kenn",1MAe7RP1K5,2026-05-03T09:40:16.362Z,2026-05-03T10:24:50.525Z,2500,0,0,-2500
"Kenn",1MAe7RP1K5,2026-05-03T09:37:02.044Z,2026-05-03T09:39:24.066Z,100,0,0,-100
"Kenn",1MAe7RP1K5,2026-05-03T09:18:05.425Z,2026-05-03T09:34:30.069Z,1000,0,0,-1000
"Kenn",1MAe7RP1K5,2026-05-03T09:10:53.451Z,2026-05-03T09:17:15.757Z,400,0,0,-400
"heech",UXn8-VfrPb,2026-05-03T08:35:53.318Z,2026-05-03T10:05:45.205Z,500,6000,0,5500
"Kenn",1MAe7RP1K5,2026-05-03T08:23:04.071Z,2026-05-03T09:07:04.866Z,2500,0,0,-2500
"Kenn",1MAe7RP1K5,2026-05-03T08:09:53.740Z,2026-05-03T08:21:21.463Z,1000,0,0,-1000
"Kenn",1MAe7RP1K5,2026-05-03T08:02:02.113Z,2026-05-03T08:09:05.440Z,1000,0,0,-1000
"Kenn",1MAe7RP1K5,2026-05-03T07:58:40.427Z,2026-05-03T08:01:17.085Z,1000,0,0,-1000
"Kenn",1MAe7RP1K5,2026-05-03T07:56:50.729Z,2026-05-03T07:58:06.545Z,669,0,0,-669
"thomas",wukM_7k8E4,2026-05-03T07:50:46.919Z,2026-05-03T09:04:18.079Z,11280,19338,0,8058
"Kenn",1MAe7RP1K5,2026-05-03T07:49:54.221Z,2026-05-03T07:56:03.000Z,667,0,0,-667
"Kenn",1MAe7RP1K5,2026-05-03T07:48:14.957Z,2026-05-03T07:49:11.246Z,300,0,0,-300
"heech",UXn8-VfrPb,2026-05-03T07:47:21.576Z,2026-05-03T08:29:59.073Z,10000,0,0,-10000
"heech",UXn8-VfrPb,2026-05-03T07:23:36.734Z,2026-05-03T07:44:10.336Z,6000,0,0,-6000
"Kenn",1MAe7RP1K5,2026-05-03T07:16:07.260Z,2026-05-03T07:47:21.572Z,667,2531,0,1864
"Kenn",1MAe7RP1K5,2026-05-03T07:13:04.190Z,2026-05-03T07:14:51.131Z,300,0,0,-300
"Kenn",1MAe7RP1K5,2026-05-03T07:01:13.369Z,2026-05-03T07:11:03.025Z,300,0,0,-300
"Eric",YIfCLTmIUB,2026-05-03T06:43:15.884Z,2026-05-03T11:16:49.328Z,3000,11793,0,8793
"Yaden",4u5onOgZt7,2026-05-03T06:43:15.882Z,2026-05-03T09:36:21.327Z,6000,8768,0,2768
"Kenn",1MAe7RP1K5,2026-05-03T06:17:28.726Z,2026-05-03T06:59:40.215Z,667,0,0,-667
"Kenn",1MAe7RP1K5,2026-05-03T06:05:47.749Z,2026-05-03T06:15:21.286Z,500,0,0,-500
"heech",UXn8-VfrPb,2026-05-03T05:45:31.784Z,2026-05-03T07:21:29.748Z,3000,0,0,-3000
"heech",UXn8-VfrPb,2026-05-03T05:38:23.606Z,2026-05-03T05:44:11.994Z,3000,0,0,-3000
