player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Kennedy",1MAe7RP1K5,2026-05-05T04:13:37.619Z,2026-05-05T04:28:39.035Z,1000,0,0,-1000
"Jason",XKcqCJfaWe,2026-05-05T04:10:12.702Z,,2000,,5294,3294
"Kennedy",1MAe7RP1K5,2026-05-05T03:46:18.917Z,2026-05-05T04:11:31.366Z,1500,0,0,-1500
"Kennedy",1MAe7RP1K5,2026-05-05T02:53:19.025Z,2026-05-05T03:37:31.765Z,2500,0,0,-2500
"Jason",XKcqCJfaWe,2026-05-05T02:15:57.946Z,2026-05-05T04:08:46.526Z,4000,0,0,-4000
"THOMa",wukM_7k8E4,2026-05-05T02:15:05.901Z,,5000,,13895,8895
"Rayan",nhXZL_Cydv,2026-05-05T02:12:24.554Z,,2000,,17195,15195
"Kennedy",1MAe7RP1K5,2026-05-05T02:05:48.667Z,2026-05-05T02:50:41.712Z,6362,0,0,-6362
"Rayan",nhXZL_Cydv,2026-05-05T01:54:33.061Z,2026-05-05T02:11:46.070Z,2500,0,0,-2500
"JT Brotha JT",wCXIffBNvr,2026-05-05T01:50:13.421Z,2026-05-05T02:29:57.894Z,2500,0,0,-2500
"Heech",wzsls5Sz57,2026-05-05T01:45:38.590Z,2026-05-05T05:19:56.851Z,2500,0,0,-2500
"THOMa",wukM_7k8E4,2026-05-05T01:43:31.025Z,2026-05-05T02:13:50.957Z,4000,0,0,-4000
"Kennedy",1MAe7RP1K5,2026-05-05T01:36:36.950Z,2026-05-05T02:04:11.741Z,2500,6362,0,3862
"JT Brotha JT",wCXIffBNvr,2026-05-05T01:11:22.738Z,2026-05-05T01:48:49.924Z,2500,0,0,-2500
"Jason",XKcqCJfaWe,2026-05-05T01:05:18.027Z,2026-05-05T02:13:50.962Z,3000,0,0,-3000
"RT",TewQH-V78i,2026-05-05T00:58:31.911Z,2026-05-05T01:30:49.428Z,2500,2480,0,-20
"Jason",XKcqCJfaWe,2026-05-05T00:50:28.728Z,2026-05-05T01:03:36.844Z,2500,0,0,-2500
"THOMa",wukM_7k8E4,2026-05-05T00:50:28.732Z,2026-05-05T01:42:26.739Z,4500,0,0,-4500
"cam",5Hkt1ueeT1,2026-05-05T00:50:28.719Z,,2500,,9088,6588
"Yaden",4u5onOgZt7,2026-05-05T00:50:28.724Z,,2500,,4048,1548
