player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Jason",XKcqCJfaWe,2026-05-01T22:03:06.862Z,,2000,,7645,5645
"Nel",WyajbU_LR7,2026-05-01T22:02:36.151Z,2026-05-01T23:08:52.763Z,2500,0,0,-2500
"Nel",WyajbU_LR7,2026-05-01T21:35:37.150Z,2026-05-01T22:01:18.761Z,1000,0,0,-1000
"Nel",WyajbU_LR7,2026-05-01T21:32:48.747Z,2026-05-01T21:34:39.223Z,1100,0,0,-1100
"Yaden",4u5onOgZt7,2026-05-01T21:29:08.827Z,,1000,,2336,1336
"Rayan",nhXZL_Cydv,2026-05-01T21:24:38.132Z,2026-05-01T22:14:21.968Z,1500,0,0,-1500
"Neel",mEC4Qautjm,2026-05-01T21:20:18.054Z,2026-05-01T21:32:48.742Z,1500,1100,0,-400
"Neel",mEC4Qautjm,2026-05-01T21:05:09.195Z,2026-05-01T21:19:17.235Z,1000,0,0,-1000
"Yaden",4u5onOgZt7,2026-05-01T20:30:03.562Z,2026-05-01T21:26:11.608Z,2500,0,0,-2500
"Thomas",kxLyCI4zWO,2026-05-01T20:28:01.037Z,2026-05-01T22:03:44.167Z,3000,8880,0,5880
"Kennedy",1MAe7RP1K5,2026-05-01T20:19:05.497Z,2026-05-01T21:05:09.191Z,1500,0,0,-1500
"Thomas",kxLyCI4zWO,2026-05-01T20:17:49.083Z,2026-05-01T20:26:15.301Z,2500,0,0,-2500
"Rayan",nhXZL_Cydv,2026-05-01T20:17:49.081Z,2026-05-01T21:23:40.873Z,2500,0,0,-2500
"Yaden",4u5onOgZt7,2026-05-01T20:17:49.079Z,2026-05-01T20:29:20.828Z,2500,0,0,-2500
"cam",5Hkt1ueeT1,2026-05-01T20:17:49.074Z,2026-05-01T21:47:18.423Z,2500,8639,0,6139
