player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Jason",XKcqCJfaWe,2026-05-06T06:51:12.209Z,,5000,,9503,4503
"Kenn",1MAe7RP1K5,2026-05-06T06:04:55.324Z,2026-05-06T06:10:24.690Z,500,0,0,-500
"RT",TewQH-V78i,2026-05-06T05:52:13.433Z,2026-05-06T06:31:23.175Z,2500,7220,0,4720
"Kenn",1MAe7RP1K5,2026-05-06T05:47:35.815Z,2026-05-06T06:02:24.858Z,1500,0,0,-1500
"Rayan",nhXZL_Cydv,2026-05-06T05:21:05.106Z,2026-05-06T06:17:46.313Z,2000,0,0,-2000
"yaden",4u5onOgZt7,2026-05-06T05:15:29.002Z,2026-05-06T07:07:19.243Z,22681,12664,0,-10017
"heech",UXn8-VfrPb,2026-05-06T05:04:47.875Z,2026-05-06T05:42:12.347Z,5000,0,0,-5000
"Rayan",nhXZL_Cydv,2026-05-06T04:52:53.519Z,2026-05-06T04:55:00.780Z,300,0,0,-300
"Eric",YIfCLTmIUB,2026-05-06T04:34:47.728Z,2026-05-06T07:35:55.620Z,2500,15218,0,12718
"heech",UXn8-VfrPb,2026-05-06T04:30:53.282Z,2026-05-06T05:04:03.241Z,2500,0,0,-2500
"Jason",XKcqCJfaWe,2026-05-06T04:25:10.464Z,2026-05-06T06:49:21.757Z,3000,0,0,-3000
"Rayan",nhXZL_Cydv,2026-05-06T04:23:52.431Z,2026-05-06T04:50:54.057Z,2000,0,0,-2000
"Jason",XKcqCJfaWe,2026-05-06T04:18:50.966Z,2026-05-06T04:23:52.427Z,2500,0,0,-2500
"Yaden phone",TOvxZ-7pOE,2026-05-06T04:18:50.964Z,2026-05-06T05:13:39.550Z,12500,22681,0,10181
"heech",UXn8-VfrPb,2026-05-06T04:18:50.968Z,2026-05-06T04:30:29.071Z,2500,0,0,-2500
"RT",TewQH-V78i,2026-05-06T04:18:50.962Z,2026-05-06T05:04:03.235Z,3551,0,0,-3551
"Rayan",nhXZL_Cydv,2026-05-06T04:18:50.960Z,2026-05-06T04:22:57.502Z,2500,0,0,-2500
"thomas",wukM_7k8E4,2026-05-06T04:18:50.956Z,,12322,,18068,5746
