player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Kenn",1MAe7RP1K5,2026-05-09T00:39:10.705Z,2026-05-09T00:46:30.879Z,500,0,0,-500
"Kenn",1MAe7RP1K5,2026-05-09T00:20:33.681Z,2026-05-09T00:37:57.123Z,2000,0,0,-2000
"thomas",wukM_7k8E4,2026-05-09T00:19:38.829Z,,3000,,6010,3010
"Heech",wzsls5Sz57,2026-05-08T23:29:14.182Z,,2500,,6255,3755
"Sulaiman",jTYns4qneJ,2026-05-08T23:22:44.237Z,2026-05-09T00:44:41.726Z,1500,0,0,-1500
"Gabe",2ethfTEhxK,2026-05-08T23:14:45.338Z,,2500,,3609,1109
"thomas",wukM_7k8E4,2026-05-08T23:14:45.336Z,2026-05-09T00:18:27.613Z,3000,0,0,-3000
"Yaden",4u5onOgZt7,2026-05-08T22:58:14.582Z,,5000,,4326,-674
"Heech",wzsls5Sz57,2026-05-08T21:56:49.382Z,2026-05-08T23:28:03.239Z,2500,0,0,-2500
"Sulaiman",jTYns4qneJ,2026-05-08T21:54:25.857Z,2026-05-08T23:20:38.833Z,1500,0,0,-1500
"Arya",JTmqXhB_dy,2026-05-08T21:49:13.406Z,2026-05-08T22:09:33.901Z,2000,0,0,-2000
"Heech",wzsls5Sz57,2026-05-08T21:29:44.358Z,2026-05-08T21:55:48.124Z,2500,0,0,-2500
"Yaden",4u5onOgZt7,2026-05-08T21:20:01.315Z,2026-05-08T22:56:26.763Z,2500,0,0,-2500
"cam",5Hkt1ueeT1,2026-05-08T21:12:46.816Z,,2500,,10099,7599
"cam",5Hkt1ueeT1,2026-05-08T21:00:27.048Z,2026-05-08T21:12:11.035Z,2500,0,0,-2500
"Rayan",nhXZL_Cydv,2026-05-08T20:46:12.648Z,,2000,,13762,11762
"Gabe",2ethfTEhxK,2026-05-08T20:33:09.667Z,2026-05-08T22:20:57.555Z,2500,3612,0,1112
"Sulaiman",jTYns4qneJ,2026-05-08T20:14:31.344Z,2026-05-08T21:53:32.864Z,2000,2500,0,500
"Yaden",4u5onOgZt7,2026-05-08T20:11:27.730Z,2026-05-08T21:17:55.923Z,2500,0,0,-2500
"Sulaiman",jTYns4qneJ,2026-05-08T20:04:09.070Z,2026-05-08T20:14:09.085Z,2000,0,0,-2000
"Jason",XKcqCJfaWe,2026-05-08T19:56:18.051Z,2026-05-09T00:12:38.050Z,2000,2327,0,327
"Rayan",nhXZL_Cydv,2026-05-08T19:56:18.059Z,2026-05-08T20:45:38.269Z,2000,0,0,-2000
"Rayan",nhXZL_Cydv,,2026-05-08T19:52:21.997Z,2500,2500,0,0
"Sulaiman",jTYns4qneJ,2026-05-08T19:56:18.064Z,2026-05-08T20:03:49.456Z,1500,0,0,-1500
